05/30/12,AARDVARK VANAHEIM,Glamourpuss #25
05/30/12,ABSTRACT STUDIOS,Rachel Rising #8
05/30/12,ACTION LAB ENTERTAINMENT,Double Jumpers #1 (not verified by Diamond)
05/30/12,ANTARCTIC PRESS,Airboy Deadeye #2 (Of 5)
05/30/12,ANTARCTIC PRESS,Last Zombie Neverland #4 (Of 5)
05/30/12,APE ENTERTAINMENT,Richie Rich #5 (James Silvani Variant Cover)
05/30/12,ARCHAIA ENTERTAINMENT,Cow Boy A Boy And His Horse HC
05/30/12,ARCHIE COMICS,Archie And Friends Double Digest #16
05/30/12,ARCHIE COMICS,Betty And Veronica Friends Double Digest #225
05/30/12,ARCHIE COMICS,Sonic The Hedgehog #237
05/30/12,ARDDEN ENTERTAINMENT,Minx TP (resolicited)(not verified by Diamond)
05/30/12,AVATAR PRESS,Crossed Badlands #3 (Jacen Burrows Auxiliary Edition)
05/30/12,AVATAR PRESS,Ferals #3 (Gabriel Andrade Auxiliary Edition)
05/30/12,AVATAR PRESS,Stitched #4 (Mike Wolfer Auxiliary Edition)
05/30/12,BARRON'S EDUCATIONAL SERIES,Digital Art Technique Manual For Illustrators And Artists SC
05/30/12,BLACK LIBRARY,Dead Winter MMPB (Warhammer)(Time Of Legends The Black Plague)
05/30/12,BONGO COMICS,Futurama Comics #61
05/30/12,BONGO COMICS,Simpsons Summer Shindig #6
05/30/12,BOOM! STUDIOS,Amory Wars In Keeping Secrets Of The Silent Earth 3 Ultimate Edition HC
05/30/12,BOOM! STUDIOS,Exile Planet Of The Apes #3 (Of 4)(Cover A Gabriel Hardman)
05/30/12,BOOM! STUDIOS,Exile Planet Of The Apes #3 (Of 4)(Cover B Declan Shalvey)
05/30/12,BOOM! STUDIOS,Exile Planet Of The Apes #3 (Of 4)(Cover C Gabriel Hardman)
05/30/12,BOOM! STUDIOS,Irredeemable Volume 9 TP
05/30/12,BOOM! STUDIOS,Rich Johnston's Iron Muslim #1 (Josh Covey 2nd Printing Variant Cover)
05/30/12,BOOM! STUDIOS,Rinse TP
05/30/12,BOOM! STUDIOS,Roger Langridge's Snarked #8
05/30/12,BOUNDLESS COMICS,Lady Death #13 (Juan Jose Ryp Dragons Cover)
05/30/12,BOUNDLESS COMICS,Lady Death #14 (Michael Dipascale Auxiliary Cover)
05/30/12,BOUNDLESS COMICS,Lady Death Origins Cursed #1 (Of 3)(Marcelo Mueller Kick Back Cover)
05/30/12,BROADSWORD COMICS,Tarot Witch Of The Black Rose #74
05/30/12,CARTOON BOOKS,Rasl #14
05/30/12,CHICAGO REVIEW PRESS,Slasher Movie Book SC
05/30/12,CHRONICLE BOOKS,Star Wars Cookbook Wookiee Pies Clone Scones And Other Galactic Goodies HC
05/30/12,CHRONICLE BOOKS,Zombies Hate Stuff HC
05/30/12,COMIC SHOP NEWS,Comic Shop News #1302
05/30/12,DARK HORSE COMICS,Angel And Faith #10 (Rebekah Isaacs Variant Cover)
05/30/12,DARK HORSE COMICS,Angel And Faith #10 (Steve Morris Regular Cover)
05/30/12,DARK HORSE COMICS,Avatar The Last Airbender Volume 2 The Promise Part 2 TP
05/30/12,DARK HORSE COMICS,B.P.R.D. Hell On Earth The Transformation Of J. H. O'Donnell (One Shot)(Max Fiumara Regular Cover)
05/30/12,DARK HORSE COMICS,B.P.R.D. Hell On Earth The Transformation Of J. H. O'Donnell (One Shot)(Mike Mignola Variant Cover)
05/30/12,DARK HORSE COMICS,Baltimore The Curse Bells Volume 2 HC
05/30/12,DARK HORSE COMICS,Channel Zero The Complete Collection TP
05/30/12,DARK HORSE COMICS,Empowered Volume 7 TP
